code,system
300.00_,icd
F40.9,icd
F41.9,icd
300.01_,icd
300.21_,icd
300.22_,icd
F40.01,icd
F40.02,icd
F41.0,icd
300.02_,icd
F41.1,icd
300.11_,icd
F44.5,icd
F44.7,icd
300.20_,icd
F40.00,icd
300.23_,icd
F40.10,icd
F40.11,icd
300.7_,icd
F45.21,icd
313.0_,icd
F45.22,icd
F44.4,icd
F44.6,icd
F45.20,icd
F45.29,icd
36230009,snomed
113143003,snomed
397074006,snomed
51790004,snomed
229298005,snomed
389008003,snomed
225224008,snomed
228562009,snomed
228567003,snomed
311621000,snomed
304889007,snomed
313075001,snomed
313087008,snomed
315600006,snomed
710199005,snomed
711030000,snomed
386523003,snomed
710060004,snomed
